delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Polygon.started,Polygon.stopped,key_Resp.keys,key_Resp.rt,key_Resp.started,key_Resp.stopped,Sound_1.started,Sound_1.stopped,display_text.started,display_text.stopped,slider.response,slider.rt,slider.started,slider.stopped,participant,session,date,expName,psychopyVersion,frameRate
0.1,400,exp,8,5,85,6,836.5458344,841.5497767,843.5324055,None,space,0.2802527,843.5324055,None,843.9161189,None,844.2984031,None,1,1.3873308,844.2984031,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,400,exp,8,6,86,9,845.6786406,850.682242,852.6658083,None,space,0.2904939,852.6658083,None,853.065579,None,853.4454248,None,1,0.7785012,853.4454248,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,8,7,87,8,854.1958256,859.1977117,861.182666,None,space,0.3595893,861.182666,None,862.2491118,None,862.6415662,None,1,0.4893206,862.6415662,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,1000,unexp,8,8,88,4,863.1111428,868.1148926,870.0981982,None,space,0.5244601,870.0981982,None,871.0316507,None,871.41732,None,1.082031339,1.6936373,871.41732,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,400,exp,8,9,89,7,873.1107972,878.1141954,880.0982854,None,space,0.578307,880.0982854,None,881.0815151,None,881.4709369,None,1.082031339,1.3643081,881.4709369,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,9,0,90,5,882.8101744,887.8137243,889.7803993,None,space,0.2995367,889.7803993,None,890.7805429,None,891.170401,None,1.082031339,0.7153664,891.170401,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,9,1,91,3,891.8610438,896.8636231,898.8468498,None,space,0.4179752,898.8468498,None,899.3802219,None,899.7716227,None,1.082031339,1.7041386,899.7716227,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,9,2,92,0,901.4437152,906.4463149,908.4298413,None,space,0.3491143,908.4298413,None,908.8796797,None,909.2687993,None,1.082031339,1.3489556,909.2687993,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,400,exp,9,3,93,7,910.6090365,915.612514,917.5956125,None,space,0.3353078,917.5956125,None,918.3459879,None,918.7277945,None,1,1.2210413,918.7277945,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,9,4,94,8,919.9418728,924.9452106,926.9289344,None,space,0.3734335,926.9289344,None,928.0462789,None,928.4292049,None,1.84375,1.2851293,928.4292049,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
